NetCode,site_no,NetName
"ILA","371211089160501","Illinois Groundwater Level Network"
"ILA","383048089263201","Illinois Groundwater Level Network"
"ILA","383439088160001","Illinois Groundwater Level Network"
"ILA","383453089545001","Illinois Groundwater Level Network"
"ILA","384058090010601","Illinois Groundwater Level Network"
"ILA","384312090064701","Illinois Groundwater Level Network"
"ILA","384659090003701","Illinois Groundwater Level Network"
"ILA","384955089473001","Illinois Groundwater Level Network"
"ILA","391350087385301","Illinois Groundwater Level Network"
"ILA","393750090333101","Illinois Groundwater Level Network"
"ILA","400751088084101","Illinois Groundwater Level Network"
"ILA","401654088212001","Illinois Groundwater Level Network"
"ILA","401654088212002","Illinois Groundwater Level Network"
"ILA","401654088212003","Illinois Groundwater Level Network"
"ILA","401654088212004","Illinois Groundwater Level Network"
"ILA","401921089282102","Illinois Groundwater Level Network"
"ILA","401921089282103","Illinois Groundwater Level Network"
"ILA","402558087351501","Illinois Groundwater Level Network"
"ILA","402739088524102","Illinois Groundwater Level Network"
"ILA","403452091193401","Illinois Groundwater Level Network"
"ILA","404603088563501","Illinois Groundwater Level Network"
"ILA","405458087484601","Illinois Groundwater Level Network"
"ILA","410252090541601","Illinois Groundwater Level Network"
"ILA","410859087370001","Illinois Groundwater Level Network"
"ILA","412053088101801","Illinois Groundwater Level Network"
"ILA","413743089310101","Illinois Groundwater Level Network"
"ILA","413743089310102","Illinois Groundwater Level Network"
"ILA","414238087401101","Illinois Groundwater Level Network"
"ILA","414238087401102","Illinois Groundwater Level Network"
"ILA","415650088265101","Illinois Groundwater Level Network"
"ILA","420012088191101","Illinois Groundwater Level Network"
"ILA","420602089185501","Illinois Groundwater Level Network"
"ILA","421122088222701","Illinois Groundwater Level Network"
"ILA","421122088222702","Illinois Groundwater Level Network"
"ILA","421506088550002","Illinois Groundwater Level Network"
"ILA","421508088511603","Illinois Groundwater Level Network"
"ILA","421508088511604","Illinois Groundwater Level Network"
"ILA","421533088421801","Illinois Groundwater Level Network"
"ILA","421626088311401","Illinois Groundwater Level Network"
"ILA","421626088311402","Illinois Groundwater Level Network"
"ILA","421633088125801","Illinois Groundwater Level Network"
"ILA","421914088125301","Illinois Groundwater Level Network"
"ILA","422035089460901","Illinois Groundwater Level Network"
"ILA","422142088303101","Illinois Groundwater Level Network"
"ILA","422142088303103","Illinois Groundwater Level Network"
"ILA","422300087552501","Illinois Groundwater Level Network"
"ILA","422308088195601","Illinois Groundwater Level Network"
"ILA","422308088195602","Illinois Groundwater Level Network"
"ILA","422803087475301","Illinois Groundwater Level Network"
"ILA","422803087475302","Illinois Groundwater Level Network"
"ILA","422803087475303","Illinois Groundwater Level Network"
"ILA","422803087475304","Illinois Groundwater Level Network"
"ILA","422803087475305","Illinois Groundwater Level Network"
