NetCode,site_no,NetName
"AHS","343048093030401","Arkansas Hot Springs National Park Network"
"AHS","343204093005501","Arkansas Hot Springs National Park Network"
"AHS","343206093044101","Arkansas Hot Springs National Park Network"
"AHS","343255092593601","Arkansas Hot Springs National Park Network"
"AHS","343257092593601","Arkansas Hot Springs National Park Network"
"AHS","343312093013201","Arkansas Hot Springs National Park Network"
"AHS","343330092591101","Arkansas Hot Springs National Park Network"
"AHS","343350093005901","Arkansas Hot Springs National Park Network"
"AHS","343518092591701","Arkansas Hot Springs National Park Network"
"ANC","331640091395801","Arkansas Natural Resources Commission Groundwater Network"
"ANC","331818091233401","Arkansas Natural Resources Commission Groundwater Network"
"ANC","333234092505501","Arkansas Natural Resources Commission Groundwater Network"
"ANC","333819093000601","Arkansas Natural Resources Commission Groundwater Network"
"ANC","333846092222601","Arkansas Natural Resources Commission Groundwater Network"
"ANC","334144091284201","Arkansas Natural Resources Commission Groundwater Network"
"ANC","334916091182501","Arkansas Natural Resources Commission Groundwater Network"
"ANC","335201092363201","Arkansas Natural Resources Commission Groundwater Network"
"ANC","335228091383301","Arkansas Natural Resources Commission Groundwater Network"
"ANC","340402092375201","Arkansas Natural Resources Commission Groundwater Network"
"ANC","340740091211501","Arkansas Natural Resources Commission Groundwater Network"
"ANC","341624091204601","Arkansas Natural Resources Commission Groundwater Network"
"ANC","342405092345601","Arkansas Natural Resources Commission Groundwater Network"
"ANC","342553091225101","Arkansas Natural Resources Commission Groundwater Network"
"ANC","342553091225102","Arkansas Natural Resources Commission Groundwater Network"
"ANC","342630091300701","Arkansas Natural Resources Commission Groundwater Network"
"ANC","343007091523701","Arkansas Natural Resources Commission Groundwater Network"
"ANC","343430091544701","Arkansas Natural Resources Commission Groundwater Network"
"ANC","343609091474601","Arkansas Natural Resources Commission Groundwater Network"
"ANC","343826091361301","Arkansas Natural Resources Commission Groundwater Network"
"ANC","343826091361302","Arkansas Natural Resources Commission Groundwater Network"
"ANC","343841092033701","Arkansas Natural Resources Commission Groundwater Network"
"ANC","344139091054201","Arkansas Natural Resources Commission Groundwater Network"
"ANC","344139091054202","Arkansas Natural Resources Commission Groundwater Network"
"ANC","344543091510601","Arkansas Natural Resources Commission Groundwater Network"
"ANC","344649091330001","Arkansas Natural Resources Commission Groundwater Network"
"ANC","344651091355101","Arkansas Natural Resources Commission Groundwater Network"
"ANC","344651091355102","Arkansas Natural Resources Commission Groundwater Network"
"ANC","344653091382701","Arkansas Natural Resources Commission Groundwater Network"
"ANC","344659091293701","Arkansas Natural Resources Commission Groundwater Network"
"ANC","344659091293702","Arkansas Natural Resources Commission Groundwater Network"
"ANC","345206090594701","Arkansas Natural Resources Commission Groundwater Network"
"ANC","345735091080101","Arkansas Natural Resources Commission Groundwater Network"
"ANC","350944091035401","Arkansas Natural Resources Commission Groundwater Network"
"ANC","351508090511301","Arkansas Natural Resources Commission Groundwater Network"
"ANC","351630090193301","Arkansas Natural Resources Commission Groundwater Network"
"ANC","351630090193302","Arkansas Natural Resources Commission Groundwater Network"
"ANC","352128091191901","Arkansas Natural Resources Commission Groundwater Network"
"ANC","352505090565301","Arkansas Natural Resources Commission Groundwater Network"
"ANC","352726090523101","Arkansas Natural Resources Commission Groundwater Network"
"ANC","353224090264601","Arkansas Natural Resources Commission Groundwater Network"
"ANC","353550091042801","Arkansas Natural Resources Commission Groundwater Network"
"ANC","353740090180201","Arkansas Natural Resources Commission Groundwater Network"
"ANC","353831090502401","Arkansas Natural Resources Commission Groundwater Network"
"ANC","354916090512501","Arkansas Natural Resources Commission Groundwater Network"
"ANC","355352091002701","Arkansas Natural Resources Commission Groundwater Network"
"ANC","355714090590001","Arkansas Natural Resources Commission Groundwater Network"
"ANC","360407094190101","Arkansas Natural Resources Commission Groundwater Network"
"ANC","360431090391701","Arkansas Natural Resources Commission Groundwater Network"
"ANC","360737094180301","Arkansas Natural Resources Commission Groundwater Network"
"ANC","362144094254701","Arkansas Natural Resources Commission Groundwater Network"
"ANC","362155094254801","Arkansas Natural Resources Commission Groundwater Network"
"ANL","345035091502801","Arkansas northern Lonoke County Groundwater Network"
"ANL","345057091525601","Arkansas northern Lonoke County Groundwater Network"
"ANL","345125091533301","Arkansas northern Lonoke County Groundwater Network"
"ANL","345129091455801","Arkansas northern Lonoke County Groundwater Network"
"ANL","345147091533301","Arkansas northern Lonoke County Groundwater Network"
